officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Achalapur B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,NA,NA
Ada B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O,NA,NA
Adegaon B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O,NA,NA
Adilabad Collectorate S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226703,NA,Adilabad H.O,NA,NA
Adilabad H.O,504001,H.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226738,NA,NA,NA,NA
Agm Colony S.O,504251,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222138,NA,Mancherial H.O,NA,NA
Ainam B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,NA,NA
Aknepalli B.O,504251,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Bellampalli S.O,Mancherial H.O,NA,NA
Akoli B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,NA,NA
Alegaon B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,NA,NA
Aloor B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O,NA,NA
Ambaripet B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O,NA,NA
Andavelli B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,NA,NA
Andugulpet B.O,504231,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Kalyani Khani S.O,Mancherial H.O,NA,NA
Andukur B.O,504109,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Kuntala S.O,Adilabad H.O,NA,NA
Angarajpally B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,NA,NA
Ankhoda B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kagaznagar,Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Ankoli B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,NA,NA
Annaram B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,NA,NA
Arepally B.O,504204,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Bheemaram S.O,Mancherial H.O,NA,NA
Arli (T) B.O,504312,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Tamsi S.O,Adilabad H.O,NA,NA
Ashepally B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O,NA,NA
Ashta B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O,NA,NA
Asifabad S.O,504293,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,08733-279530,NA,Mancherial H.O,NA,NA
Asnad B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,NA,NA
